"","studyid","region","RR","RR.CI1","RR.CI2","est","se","N","sparseN","W","pooled","Nstudies","method","X","Y","adj","agecat","sex","analysis","df","logHR.psi","logSE","HR.CI1","HR.CI2","severe"
"69","pooled",NA,3.03075025224585,2.58752713203736,3.54989401956758,1.10881019687341,0.0806671186353854,NA,NA,NA,1,6,"FE","co","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"70","pooled","Africa",3.91866691130389,3.15202854248916,4.87176754739072,1.36575152231725,0.111074130104276,NA,NA,NA,1,3,"RE","co","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"71","pooled","South Asia",2.62213554305264,1.60562795624433,4.28218428771161,0.963989078533478,0.250241912486406,NA,NA,NA,1,3,"RE","co","dead",1,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"72","Burkina Faso Zn","Africa",0.276715005782499,0.0365879147474737,2.09280017606074,-1.28476716242553,1.03301362974882,5124,1,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"73","iLiNS-DYAD-M","Africa",0.809792980509671,0.171425162512513,3.82536998461279,-0.21097664359938,0.837742677089221,898,2,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"74","JiVitA-3","South Asia",1.1276063038712,0.796928307173616,1.59549606292636,0.120097070762947,0.180707920817901,16933,38,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"75","JiVitA-4","South Asia",0.21318542176835,0.0284236216922675,1.59895260873506,-1.54559296722557,1.03080114583876,3260,1,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"76","Keneba","Africa",0.469547134485314,0.166109673642386,1.32728279256044,-0.755986592432888,0.543479227527198,2180,5,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"77","VITAMIN-A","South Asia",9.26631493123897e-09,4.39568602111942e-09,1.953383203267e-08,-18.4968800626989,6573.29109065952,2000,0,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"78","ZVITAMBO","Africa",0.529571706195001,0.395047759116564,0.709904525542532,-0.635686700644879,0.147645616600208,8185,58,"",0,NA,NA,"stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"79","pooled",NA,0.71215390746516,0.425093461365008,1.19306278268632,-0.339461228759668,0.263257651214477,NA,NA,NA,1,4,"RE","stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"80","pooled",NA,0.705676328058043,0.56781165252669,0.877014548337531,-0.34859860545458,0.110901483398646,NA,NA,NA,1,4,"FE","stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"81","pooled","Africa",0.531643264454157,0.403696204865619,0.700141733394692,-0.63178257010071,0.140464327522732,NA,NA,NA,1,3,"RE","stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"82","pooled","South Asia",1.1276063038712,0.791290237259461,1.60686422839456,0.120097070762947,0.180707920817901,NA,NA,NA,1,1,"RE","stunt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"83","Burkina Faso Zn","Africa",13.0957476531215,3.02178532799219,56.7540668774733,2.57228757087902,0.755710628732258,4328,2,"",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"84","iLiNS-DYAD-M","Africa",8.27157018755435e-07,1.51571578020925e-07,4.51396457442651e-06,-14.0052712944607,9517.71091383767,626,0,"",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"85","JiVitA-3","South Asia",1.72047722480424,0.810460091177694,3.65229813693703,0.542601708623022,0.327379545498946,14506,10,"",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"86","JiVitA-4","South Asia",2.9958297866562e-07,1.6215257631004e-07,5.53490811854639e-07,-15.0208744004499,3973.32197045551,2582,0,"",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"87","Keneba","Africa",1.23703152746905,0.167003701286243,9.16295260623947,0.212714580126024,1.02076593118516,1797,1,"",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"88","VITAMIN-A","South Asia",1.09670646613899e-07,4.71459792870914e-08,2.55115089570405e-07,-16.0257840841955,8909.78528945579,1519,0,"",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"89","ZVITAMBO","Africa",4.026041048728,2.62573918998815,6.17312130155473,1.39278352307422,0.213962566842171,6642,24,"sex",0,NA,NA,"wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"90","pooled",NA,3.80371567734202,1.42985731901362,10.1186690179956,1.33597839881456,0.49918557981344,NA,NA,NA,1,3,"RE","wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"91","pooled",NA,3.36889842615836,2.39409421822853,4.7406140156715,1.21458581441763,0.174275944934228,NA,NA,NA,1,3,"FE","wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"92","pooled","Africa",5.81156173556111,1.99273035159367,16.9487305591684,1.75984933604462,0.546093674343265,NA,NA,NA,1,2,"RE","wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"93","pooled","South Asia",1.72047722480424,0.905686372076583,3.26828576903861,0.542601708623022,0.327379545498946,NA,NA,NA,1,1,"RE","wast","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"94","Burkina Faso Zn","Africa",3.40443414943201,0.77958620311471,14.867081833301,1.22507874353969,0.753038863675511,4445,2,"",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"95","iLiNS-DYAD-M","Africa",31.4909289516293,3.47014202211056,285.774645509587,3.44969953457078,1.11992495987014,630,1,"",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"96","JiVitA-3","South Asia",2.07963524316315,1.31711312624449,3.28360765558376,0.732192514471318,0.199604845444114,15217,30,"",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"97","JiVitA-4","South Asia",0.744792932644192,0.0973600169732915,5.69758027742446,-0.294649041995298,1.0316650952506,2741,1,"",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"98","Keneba","Africa",3.40113886308851,1.25454523378328,9.22066837807564,1.22411033526754,0.507445864146361,1814,6,"",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"99","VITAMIN-A","South Asia",2.99930586486367,0.623569417645066,14.4263580227823,1.09838088351723,0.801792408391297,1640,2,"",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"100","ZVITAMBO","Africa",3.13300417048337,1.96401363851546,4.99778358957098,1.14199234311611,0.228305283761351,6531,21,"sex",0,NA,NA,"underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
"101","pooled",NA,2.62593556553635,1.9232287666547,3.58539645096039,0.965437238464693,0.158893783425844,NA,NA,NA,1,5,"RE","underwt","dead",0,"overall",NA,"No overlap",NA,NA,NA,NA,NA,0
