"","country","brthyr","gdp","imputed_gdp","gdi","imputed_gdi","gii","imputed_gii","chi","imputed_chi","gini","imputed_gini","he","imputed_he","pov","imputed_pov","mort","imputed_mort","nearest_gdp","nearest_gdi","nearest_gii","nearest_chi","nearest_he","nearest_gini","nearest_pov"
"63","GAMBIA",1987,265.4916532,"no",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",184.2,"no",0,8,8,23,13,11,11
"64","GAMBIA",1988,305.3136177,"no",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",178,"no",0,7,7,22,12,10,10
"65","GAMBIA",1989,310.2993373,"no",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",172.1,"no",0,6,6,21,11,9,9
"66","GAMBIA",1990,331.8177403,"no",0.728,"yes",0.764,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",166.3,"no",0,5,5,20,10,8,8
"67","GAMBIA",1991,695.4109885,"no",0.7362,"yes",0.7626,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",160.7,"no",0,4,4,19,9,7,7
"68","GAMBIA",1992,695.1553715,"no",0.7444,"yes",0.7612,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",155.1,"no",0,3,3,18,8,6,6
"69","GAMBIA",1993,711.726181,"no",0.7526,"yes",0.7598,"yes",NA,"yes",49.7,"yes",NA,"yes",95.5,"yes",149.6,"no",0,2,2,17,7,5,5
"70","GAMBIA",1994,682.2141569,"no",0.7608,"yes",0.7584,"yes",NA,"yes",49.46,"yes",NA,"yes",90.56,"yes",144,"no",0,1,1,16,6,4,4
"71","GAMBIA",1995,696.4495843,"no",0.769,"no",0.757,"no",NA,"yes",49.22,"yes",11.29679727,"yes",85.62,"yes",138.5,"no",0,0,0,15,5,3,3
"72","GAMBIA",1997,669.401096,"no",0.7854,"yes",0.7542,"yes",NA,"yes",48.74,"yes",9.43364763,"yes",75.74,"yes",128.1,"no",0,2,2,13,3,1,1
"73","GAMBIA",1998,678.6761783,"no",0.7936,"yes",0.7528,"yes",NA,"yes",48.5,"no",8.50207281,"yes",70.8,"no",123,"no",0,2,2,12,2,0,0
"74","MALAWI",2007,332.2590946,"no",0.8958,"yes",0.6318,"yes",32.2,"yes",42.7,"yes",7.66315603,"no",71.8,"yes",99.9,"no",0,2,2,3,0,3,3
"75","MALAWI",2008,387.6057212,"no",0.9022,"yes",0.6222,"yes",32,"yes",43.6333333333333,"yes",8.59821701,"no",71.5666666666667,"yes",94.5,"no",0,2,2,2,0,2,2
"76","BRAZIL",2010,11286.07154,"no",1.001,"no",0.456,"no",26.6,"no",53.3,"yes",7.94515991,"no",5.05,"yes",18.6,"no",0,0,0,0,0,1,1
"77","BRAZIL",2011,13245.38737,"no",0.992,"no",0.452,"no",26.9,"no",52.9,"no",7.78819466,"no",4.7,"no",17.9,"no",0,0,0,0,0,0,0
"78","BRAZIL",2012,12370.22325,"no",0.995,"no",0.448,"no",26.5,"no",53.4,"no",7.73637724,"no",3.9,"no",17.2,"no",0,0,0,0,0,0,0
"79","INDIA",2011,1458.104066,"no",0.786,"no",0.585,"no",27.5,"no",35.7,"no",3.24634194,"no",22.5,"no",55,"no",0,0,0,0,0,0,0
"80","INDIA",2012,1443.882435,"no",0.794,"no",0.581,"no",28.4,"no",35.85,"yes",3.32935309,"no",17.35,"yes",52,"no",0,0,0,0,0,1,1
"81","NEPAL",2010,592.4012071,"no",0.885,"no",0.525,"no",31.3,"no",32.8,"no",4.35166264,"no",15,"no",45.9,"no",0,0,0,0,0,0,0
"82","NEPAL",2011,799.5833769,"no",0.891,"no",0.516,"no",33.5,"no",31.2285714285714,"yes",4.44234991,"no",10.0142857142857,"yes",43.6,"no",0,0,0,0,0,1,1
"83","PERU",2010,5082.353706,"no",0.944,"no",0.43,"no",29.8,"no",45.5,"no",4.71548748,"no",5.5,"no",19.8,"no",0,0,0,0,0,0,0
"84","PERU",2011,5869.323882,"no",0.949,"no",0.44,"no",22.9,"no",44.7,"no",4.53341627,"no",5.2,"no",18.8,"no",0,0,0,0,0,0,0
"85","PERU",2012,6528.971775,"no",0.955,"no",0.436,"no",24,"no",44.4,"no",4.74023867,"no",4.8,"no",17.9,"no",0,0,0,0,0,0,0
"86","SOUTH AFRICA",2009,6532.736968,"no",0.9718,"yes",0.444,"yes",30,"yes",63.2,"yes",8.52350235,"no",16.45,"yes",60.3,"no",0,1,1,1,0,1,1
"87","SOUTH AFRICA",2010,8148.961202,"no",0.975,"no",0.439,"no",30.6,"no",63.4,"no",8.66596985,"no",16.2,"no",52,"no",0,0,0,0,0,0,0
"88","SOUTH AFRICA",2011,8810.930651,"no",0.983,"no",0.436,"no",31.2,"yes",63.3,"yes",8.74146175,"no",16.825,"yes",45.6,"no",0,0,0,1,0,1,1
"89","SOUTH AFRICA",2012,8222.197279,"no",0.976,"no",0.429,"no",31.8,"yes",63.2,"yes",8.77310753,"no",17.45,"yes",41.5,"no",0,0,0,2,0,2,2
"90","TANZANIA",2009,695.2168433,"no",NA,NA,NA,NA,NA,NA,39.05,"yes",5.0630641,"no",54.95,"yes",75.4,"no",0,1000,1000,1000,0,2,2
"91","TANZANIA",2010,743.4036639,"no",NA,NA,NA,NA,NA,NA,38.425,"yes",5.22392178,"no",52.275,"yes",71.9,"no",0,1000,1000,1000,0,1,1
"92","TANZANIA",2011,781.4338957,"no",NA,NA,NA,NA,NA,NA,37.8,"no",5.05598497,"no",49.6,"no",68.4,"no",0,1000,1000,1000,0,0,0
"93","BANGLADESH",2014,1118.873808,"no",0.877,"no",0.57,"no",29,"no",32.3,"yes",2.65588379,"no",15.9333333333333,"yes",40.1,"no",0,0,0,0,0,2,2
"94","BELARUS",1996,1452.507105,"no",1.0158,"yes",NA,"yes",NA,"yes",32.6,"yes",3.54721638,"yes",14.2,"yes",15.5,"no",0,1,14,14,4,2,2
"95","PAKISTAN",2011,1164.978823,"no",0.717,"no",0.57,"no",29.9,"no",29.7,"no",2.34442639,"no",7.2,"no",85,"no",0,0,0,0,0,0,0
"96","INDIA",1999,441.9987604,"no",0.7288,"yes",0.6672,"yes",NA,"yes",33.1727272727273,"yes",3.80708314,"yes",43.4,"yes",95.3,"no",0,1,4,11,1,5,5
"97","INDIA",2000,443.3141938,"no",0.736,"no",0.66,"yes",NA,"yes",33.4181818181818,"yes",4.03493214,"no",42.7,"yes",91.7,"no",0,0,5,10,0,4,4
"98","INDIA",1995,373.7664808,"no",0.7,"no",0.696,"no",NA,"yes",32.1909090909091,"yes",2.89568714,"yes",46.2,"yes",109.4,"no",0,0,0,15,5,2,2
"99","INDIA",1996,399.9500747,"no",0.7072,"yes",0.6888,"yes",NA,"yes",32.4363636363636,"yes",3.12353614,"yes",45.5,"yes",106,"no",0,1,1,14,4,3,3
"100","TANZANIA",2007,552.8395016,"no",NA,NA,NA,NA,NA,NA,40.3,"no",6.8842783,"no",60.3,"no",83.8,"no",0,1000,1000,1000,0,0,0
"101","TANZANIA",2008,687.3904455,"no",NA,NA,NA,NA,NA,NA,39.675,"yes",5.55704832,"no",57.625,"yes",79.6,"no",0,1000,1000,1000,0,1,1
"102","INDIA",1994,346.1029514,"no",0.6928,"yes",0.7032,"yes",NA,"yes",31.9454545454545,"yes",NA,"yes",46.9,"yes",112.7,"no",0,1,1,16,6,1,1
"103","ZIMBABWE",1997,731.947626,"no",0.8982,"yes",0.608,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",99.3,"no",0,2,2,13,13,14,14
"104","ZIMBABWE",1998,544.9838381,"no",0.8958,"yes",0.614,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",98.5,"no",0,2,2,12,12,13,13
"105","ZIMBABWE",1999,580.0705709,"no",0.8934,"yes",0.62,"yes",NA,"yes",NA,"yes",NA,"yes",NA,"yes",97.1,"no",0,1,1,11,11,12,12
"106","ZIMBABWE",2000,563.0575041,"no",0.891,"no",0.626,"no",NA,"yes",NA,"yes",NA,"yes",NA,"yes",95.5,"no",0,0,0,10,10,11,11
"107","INDIA",2008,998.5223415,"no",0.7736,"yes",0.6036,"yes",31.7,"yes",35.2,"yes",3.51468062,"no",34.22,"yes",64.6,"no",0,2,2,2,0,1,1
