HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019
127, Guatemala,33,,31.1,,32.4,,32,,28.9,,29.1,,28.4,,27.7,,26.9,,26.9
178, Guinea,38,,38.6,,38.6,,37.8,,35.2,,33.6,,32.2,,32.2,,32.2,,33.1
175, Guinea-Bissau,41.8,,41,,41,,39.4,,39.4,,39.1,,39.4,,39.4,,37.4,,37.4
122, Guyana,18.4,,21.8,,18.9,,18,,18,,18.5,,18.4,,18.4,,18.3,,18.3
170, Haiti,40.5,,39.8,,39.8,,38.9,,38.2,,39.2,,38.4,,38.4,,40,,40
132, Honduras,30.1,,30.9,,27.1,,31.1,,30.7,,28.5,,25.8,,25.2,,24.9,,24.8
4," Hong Kong, China (SAR)",..,,..,,..,,..,,..,,..,,..,,12.8,,12.6,,12.6
40, Hungary,8.5,,7,,7.3,,7.3,,7.1,,7.6,,7.7,,7.7,,7.8,,7.3
4, Iceland,6.5,,5.8,,6.2,,5.6,,5.8,,5.7,,5.9,,5.9,,5.6,,5.6
131, India,28.9,,27.5,,28.4,,27.7,,27.7,,26.5,,27.3,,26.3,,25.7,,25.7
107, Indonesia,17.7,,18.3,,18.3,,19.1,,18.2,,18.2,,17.6,,18.7,,17.4,,17.7
70, Iran (Islamic Republic of),..,,..,,..,,32.1,,32.1,,31.5,,..,,11.2,,11.3,,11.3
123, Iraq,..,,..,,..,,21.2,,21.4,,22,,21.1,,20.2,,19.5,,19.4
2, Ireland,8.9,,7.1,,7.1,,7.4,,8.5,,7.7,,8.6,,8.6,,7.3,,7.2
19, Israel,12.1,,11.8,,11.8,,10.4,,12.9,,12.9,,12.7,,12.2,,10.2,,10.9
29, Italy,11.8,,10.7,,11.7,,11.6,,11.3,,11.2,,12.3,,12,,11.8,,11.8
101, Jamaica,16.4,,15.9,,18.7,,18.6,,16.9,,15.9,,16.2,,16.2,,15.9,,15.9
19, Japan,..,,..,,..,,12.2,,12.2,,12.2,,12.1,,..,,3.6,,8.1
102, Jordan,19,,18.9,,18.9,,18.5,,16.4,,16.4,,16,,16,,14.6,,14.6
51, Kazakhstan,13.4,,11.8,,13.5,,11.8,,11.8,,10.1,,7.9,,7.9,,7.1,,7.1
143, Kenya,31.7,,33.6,,33.6,,32.7,,31.2,,29.4,,26.3,,26.3,,26.2,,26.2
134, Kiribati,..,,..,,..,,30.1,,30.1,,32,,31.4,,..,,..,,17.9
23, Korea (Republic of),16.2,,16.1,,16.1,,16.8,,15.9,,15.9,,14,,14,,13.9,,10.7
120, Kyrgyzstan,15,,14.4,,16.8,,16.9,,14.2,,12.1,,9.8,,9.8,,9.5,,9.5
137, Lao People's Democratic Republic,24.5,,22.6,,24.5,,24.1,,25.3,,26.9,,25.9,,25.8,,24.7,,24.7
37, Latvia,10.8,,10.6,,10.5,,10.3,,10.5,,10.3,,10.1,,10.1,,8.8,,9.2
92, Lebanon,..,,22.5,,22.5,,20.3,,20.3,,20.4,,..,,..,,..,,..
165, Lesotho,33.7,,35.2,,35.2,,34.9,,34.9,,34.9,,30.5,,30.5,,32,,27.4
175, Liberia,36.2,,34.3,,34.3,,32.8,,34.1,,32.9,,31,,31,,31.8,,31.8
34, Lithuania,11.2,,9.6,,10.8,,10.4,,10,,10.2,,10.3,,11.3,,10.5,,10
23, Luxembourg,8.9,,7.7,,7.1,,7.5,,7.7,,7.8,,9.7,,10.2,,9.3,,9.6
164, Madagascar,28.8,,30.6,,30.6,,30.3,,26.7,,26.7,,25.6,,25.6,,25.5,,26
174, Malawi,31.6,,31.4,,31.1,,31.6,,32.6,,31.1,,30.4,,30.4,,28.6,,28.6
95, Maldives,15.5,,23.9,,23.9,,24.2,,23.8,,23.4,,23,,22.1,,20.4,,20.4
184, Mali,37.5,,..,,..,,..,,34.4,,32.7,,31.5,,32.8,,30.4,,32.4
28, Malta,..,,..,,8.1,,8.2,,8.5,,8,,8.1,,8.2,,7.9,,7.9
157, Mauritania,34.5,,33.6,,34,,34.6,,32.9,,31.9,,32.7,,32.7,,31.8,,31.8
66, Mauritius,..,,13.3,,13.3,,14.1,,14.1,,14.3,,14,,13.4,,13.6,,13.6
74, Mexico,20.6,,22.8,,22.8,,22.3,,21.7,,22.4,,21.2,,20.7,,21.7,,20.8
136, Micronesia (Federated States of),35.3,,34.9,,..,,..,,..,,..,,..,,..,,..,,..
90, Moldova (Republic of),13.3,,12.1,,11.4,,12,,10.8,,10.1,,10.3,,10.3,,10.3,,10.3
99, Mongolia,14.9,,13.7,,15.8,,11.4,,12.8,,12.9,,13.7,,13.7,,13.6,,14
48, Montenegro,9.8,,6.9,,7.3,,7.1,,9.2,,8.7,,8.5,,8.8,,8.5,,9.4
121, Morocco,27.2,,28.5,,28.5,,28.5,,28.5,,28.3,,..,,..,,..,,..
181, Mozambique,44,,28.3,,32,,28.9,,34.1,,32.9,,32.6,,32.6,,30.7,,30.7
147, Myanmar,..,,..,,..,,..,,..,,..,,..,,18.9,,23.2,,..
130, Namibia,40.2,,39.1,,39.1,,39.3,,39.3,,33.4,,32.9,,32.9,,33.6,,33.6
142, Nepal,31.3,,33.5,,33.5,,27.8,,25.9,,25.8,,24.8,,24.6,,24.9,,24.9
8, Netherlands,8,,6.9,,6.8,,6.6,,6.5,,6.8,,7.2,,7.8,,6.7,,6.9
14, New Zealand,..,,..,,..,,..,,..,,..,,..,,7.5,,9,,7.5
128, Nicaragua,24.2,,26.9,,26.9,,25.8,,23.7,,25.4,,23.6,,22.6,,22.7,,23.2
189, Niger,33.1,,33.3,,33.3,,31.8,,28.4,,27.5,,27.4,,28.8,,27.4,,27.4
161, Nigeria,40.7,,38.9,,41.2,,40.2,,37.5,,37.5,,36.6,,34.6,,34.5,,35.2
82, North Macedonia,16.6,,16.2,,14.5,,13.3,,16.1,,16.1,,15.7,,12.4,,12.9,,11.8
1, Norway,6.5,,5.5,,6.2,,5.5,,5.3,,5.4,,7.4,,7.9,,6.7,,6
60, Oman,..,,..,,..,,..,,..,,..,,..,,..,,12.9,,12.9
154, Pakistan,30,,29.9,,29.5,,28.7,,28.6,,29.6,,29,,29.6,,30.2,,30.2
115," Palestine, State of",..,,..,,..,,11.7,,14.9,,15.1,,14.7,,14.9,,13.5,,13.4
57, Panama,25.4,,23.6,,23.6,,21.4,,21.7,,21,,20,,20.2,,20.3,,20.1
155, Papua New Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.6
103, Paraguay,24.4,,23.7,,..,,23.7,,21.8,,23.5,,21.9,,24.7,,22,,22.8
79, Peru,29.8,,22.9,,24,,23.4,,23,,21.3,,19.6,,18.9,,19.1,,18.8
107, Philippines,18.6,,19.6,,19.6,,18,,17.9,,18.2,,17.6,,17.6,,17.8,,17.8
35, Poland,10.6,,9.6,,9.7,,9.7,,9.6,,9.3,,9.2,,8.8,,8,,7.6
38, Portugal,11.5,,9.9,,10.4,,9.8,,10,,10.1,,13.6,,13.2,,12.5,,11.8
49, Romania,12.1,,12.3,,12.3,,10.4,,10.2,,10.8,,11.4,,11.4,,10.8,,11.4
52, Russian Federation,11.5,,11.3,,..,,11.6,,10.3,,9.6,,9.3,,9.3,,9.6,,10
160, Rwanda,36.5,,35.5,,33.6,,33.1,,31.6,,31.8,,29.8,,29.8,,28.4,,28.4
86, Saint Lucia,..,,..,,..,,..,,15.5,,15.6,,15.2,,16.3,,16.8,,16.9
135, Sao Tome and Principe,..,,30.7,,31,,30.4,,24.7,,24.7,,19.7,,19.7,,16.7,,16.7
168, Senegal,35.3,,33.2,,32.3,,32.3,,34,,32.5,,31.1,,31.8,,31.6,,31.2
64, Serbia,10.8,,9.5,,9.5,,10.9,,10,,11.1,,14.5,,14.6,,10.9,,12.1
67, Seychelles,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.2
182, Sierra Leone,38.3,,41.2,,41.2,,43.6,,40,,36.6,,35.4,,35.4,,34.5,,34.5
11, Singapore,..,,..,,..,,..,,..,,..,,..,,11.9,,12.8,,12.8
39, Slovakia,6.6,,5.6,,6.2,,6.2,,6.1,,6,,6.8,,6.7,,6.1,,6.1
22, Slovenia,6.8,,5.2,,5.8,,5.7,,5.8,,5.8,,5.5,,5.5,,4.7,,4.6
151, Solomon Islands,..,,..,,..,,23.8,,23.8,,23.8,,..,,..,,..,,..
114, South Africa,30.6,,..,,..,,..,,33,,32,,30.3,,30.3,,31.4,,31.2
185, South Sudan,..,,..,,..,,..,,..,,..,,..,,36.3,,36,,36
25, Spain,9.5,,8.8,,9.8,,10.5,,11,,10.1,,15.2,,15,,14,,13.1
72, Sri Lanka,17,,16,,14.9,,14.2,,11.6,,11.5,,11.2,,13.6,,11.8,,13.8
170, Sudan,..,,..,,..,,..,,..,,..,,35.9,,34.5,,34.3,,34.3
97, Suriname,23.9,,23.3,,22.6,,23.5,,23.3,,23.3,,21.6,,21.8,,21.9,,26
7, Sweden,6.8,,5.8,,6.1,,6.4,,6.6,,6.6,,6.9,,7.2,,6.5,,6.5
2, Switzerland,6.9,,6.8,,6.8,,7.6,,7.3,,8.4,,7.6,,7.6,,6.7,,6.8
151, Syrian Arab Republic,20.3,,19.9,,19.9,,20.8,,20.8,,21.4,,20.9,,..,,..,,..
125, Tajikistan,18.6,,17.3,,18.1,,18.8,,16.9,,14.9,,13.9,,13.4,,12.4,,12.4
163, Tanzania (United Republic of),27.9,,28.6,,27.2,,26.9,,27.2,,25.4,,24.9,,24.8,,24.9,,24.9
79, Thailand,20.5,,20.7,,20.7,,20,,20,,20.2,,16.6,,15.5,,16.7,,16.7
141, Timor-Leste,32.6,,31.8,,31.9,,29.4,,29.4,,29.9,,28.7,,26.4,,26.7,,26.7
167, Togo,32.3,,32.9,,32.9,,32.6,,33.1,,31.6,,30.9,,31.5,,31.5,,31.7
67, Trinidad and Tobago,15.3,,15,,15,,15,,15,,15,,14.7,,..,,..,,..
95, Tunisia,24.4,,24.4,,..,,..,,21.4,,21.9,,21.4,,21.4,,20.3,,18.9
54, Turkey,23.5,,22.2,,22.2,,15.6,,15.7,,15.8,,15.2,,15.2,,16,,16.5
111, Turkmenistan,25.5,,..,,..,,..,,..,,..,,17.9,,17.9,,17.9,,17.5
159, Uganda,31.8,,33.5,,33.5,,30.8,,30.2,,30.8,,29.7,,28.2,,26.7,,26.7
74, Ukraine,8.1,,9.2,,9.2,,9.1,,7.7,,7.2,,6.8,,6.5,,6.5,,6.5
13, United Kingdom,9.3,,8.1,,8.1,,8.6,,8.4,,7.8,,10.3,,9.1,,8,,7.9
17, United States,10.9,,14.2,,12,,16.2,,15.7,,12.9,,12.7,,13.1,,12.8,,12.1
55, Uruguay,15.7,,16,,16,,15.7,,14.2,,15.4,,14.3,,13.9,,12.7,,12.6
106, Uzbekistan,15.1,,14.5,,15.3,,15.3,,15.3,,15.3,,12.8,,..,,..,,..
140, Vanuatu,..,,..,,..,,..,,17.1,,17.1,,16.7,,17.1,,..,,..
113, Venezuela (Bolivarian Republic of),20.8,,25.1,,25.1,,19.4,,19.4,,19.1,,17.8,,16.2,,17,,17
117, Viet Nam,16.4,,14,,14,,14.9,,17.4,,17.7,,17.2,,17.2,,16.2,,16.5
179, Yemen,32.9,,30.8,,30.8,,31.7,,33,,32.7,,30.5,,30.9,,30.9,,30.9
146, Zambia,30.5,,28.8,,36.1,,34.5,,33.8,,34.7,,33,,33,,32.3,,30.6
150, Zimbabwe,29.6,,28.4,,28.1,,26.8,,26.7,,28.1,,23.5,,23.5,,22.7,,22.5
36, Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
31, United Arab Emirates,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
78, Antigua and Barbuda,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
42, Bahrain,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
47, Brunei Darussalam,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
70, Cuba,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
94, Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
180, Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
145, Equatorial Guinea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
74, Grenada,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
74, Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
64, Kuwait,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
105, Libya,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
19, Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
117, Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
62, Malaysia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
50, Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
45, Qatar,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
40, Saudi Arabia,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
104, Tonga,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
97, Saint Vincent and the Grenadines,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
111, Samoa,..,,..,,..,,..,,..,,..,,..,,..,,..,,..
,Human Development,,,..,,..,,..,,..,,..,,..,,..,,..,,..
 ,Very high human development,11.6,,11.8,,11.3,,12.1,,11.8,,11.1,,11.5,,10.8,,10.5,,10.7
 ,High human development,22.2,,21.8,,21.7,,21,,20.7,,20.5,,19.5,,16.8,,17.5,,17.6
 ,Medium human development,28.6,,27.5,,28.1,,27.5,,27.4,,26.7,,26.7,,25.7,,20,,25.9
 ,Low human development,35.4,,34.7,,35.3,,33.5,,32.9,,32,,31,,31.1,,30.9,,31.3
 ,Developing Countries,26.1,,25.4,,25.7,,25.7,,25.6,,25.1,,24.5,,21.9,,20.2,,22.3
,Regions,,,..,,..,,..,,..,,..,,..,,..,,..,,..
 ,Arab States,26.5,,25.3,,24.6,,24.3,,24.7,,27.1,,25.7,,24.8,,24.2,,24.3
 ,East Asia and the Pacific,21.7,,21.1,,21.1,,19.5,,19.1,,19,,18.6,,15.4,,16.3,,16.5
 ,Europe and Central Asia,16.1,,15.2,,15.5,,13.3,,12.9,,12.6,,11.8,,11.6,,11.5,,11.7
 ,Latin America and the Caribbean,24.7,,25.3,,25,,23.9,,23.2,,22.9,,21.7,,21.3,,21.8,,21.5
 ,South Asia,28.8,,27.6,,28.3,,28,,28,,27.1,,27.5,,25.6,,19,,25.4
 ,Sub-Saharan Africa,34.7,,34.3,,34.9,,33.6,,33.2,,32.1,,30.6,,30.8,,30.4,,30.5
 ,Least Developed Countries,33,,32.3,,32.4,,31,,30.8,,29.8,,28.9,,28.2,,28.4,,28.4
 ,Small Island Developing States,28.7,,27.5,,28.3,,24.4,,24.3,,24.1,,23.7,,23.1,,23.6,,24.2
 ,Organization for Economic Co-operation and Development,12.1,,12.8,,12.3,,13,,12.9,,12.2,,12.6,,11.7,,11.5,,11.8
 ,World,23.4,,22.9,,23.2,,22.9,,22.8,,22.2,,21.9,,20,,18.5,,20.2
